Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
4947,6.91,Shaonian Ge Xing: Feng Hua Xue Yue Pian Special,52105,https://myanimelist.net/anime/52105/Shaonian_Ge_Xing__Feng_Hua_Xue_Yue_Pian_Special,ONA,1,Jun 2022,Jun 2022,Finished Airing,N/A,N/A,CG Year,Novel,"Action, Adventure, Mystery",N/A,23 min.,PG-13 - Teens 13 or older,#16007,726,1,N/A,N/A
4948,6.91,Shi Yi Chang An: Mingyue Jishi You,41223,https://myanimelist.net/anime/41223/Shi_Yi_Chang_An__Mingyue_Jishi_You,ONA,12,Oct 2020,Jan 2021,Finished Airing,N/A,N/A,Lingsanwu Animation,Manga,Romance,N/A,16 min. per ep.,PG-13 - Teens 13 or older,#6682,"11,307",66,"Oct 28, 2020","Jan 6, 2021"
4949,6.91,Shy 2nd Season,57567,https://myanimelist.net/anime/57567/Shy_2nd_Season,TV,12,Jul 2024,Sep 2024,Finished Airing,Summer 2024,Tuesdays at 00:00 (JST),8bit,Manga,"Action, Drama",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#4456,"30,604",69,"Jul 2, 2024","Sep 24, 2024"
4950,6.91,Super Fishing Grander Musashi,2415,https://myanimelist.net/anime/2415/Super_Fishing_Grander_Musashi,TV,25,Apr 1997,Sep 1997,Finished Airing,Spring 1997,Unknown,Nippon Animation,Manga,"Adventure, Sports",Kids,25 min. per ep.,PG-13 - Teens 13 or older,#8812,"5,759",14,"Apr 2, 1997","Sep 24, 1997"
4951,6.91,Teogonia,58614,https://myanimelist.net/anime/58614/Teogonia,TV,12,Apr 2025,Jun 2025,Finished Airing,Spring 2025,Saturdays at 00:30 (JST),Asahi Production,Light novel,"Action, Adventure, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#4167,"35,379",96,"Apr 12, 2025","Jun 28, 2025"
4952,6.91,Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!,49426,https://myanimelist.net/anime/49426/Tropical-Rouge_Precure_Movie__Yuki_no_Princess_to_Kiseki_no_Yubiwa,Movie,1,Oct 2021,Oct 2021,Finished Airing,N/A,N/A,Toei Animation,Original,Action,N/A,1 hr. 10 min.,G - All Ages,#10669,"3,236",8,N/A,N/A
4953,6.91,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,2470,https://myanimelist.net/anime/2470/Uchuu_Kaizoku_Captain_Herlock__Arcadia-gou_no_Nazo,Movie,1,Jul 1978,Jul 1978,Finished Airing,N/A,N/A,Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",N/A,35 min.,PG-13 - Teens 13 or older,#8413,"6,400",7,N/A,N/A
4954,6.91,UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,1128,https://myanimelist.net/anime/1128/UFO_Princess_Valkyrie_2__Juunigatsu_no_Yasoukyoku,TV,12,Oct 2003,Dec 2003,Finished Airing,Fall 2003,Saturdays at 01:15 (JST),TNK,Manga,"Comedy, Romance, Sci-Fi",N/A,23 min. per ep.,R+ - Mild Nudity,#6786,"10,854",14,"Oct 4, 2003","Dec 20, 2003"
4955,6.91,UFO Princess Valkyrie 3: Seiresetsu no Hanayome,1514,https://myanimelist.net/anime/1514/UFO_Princess_Valkyrie_3__Seiresetsu_no_Hanayome,OVA,6,May 2005,Oct 2005,Finished Airing,N/A,N/A,TNK,Manga,"Comedy, Romance, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#7624,"8,193",4,"May 25, 2005","Oct 25, 2005"
4956,6.91,Urusei Yatsura Movie 3: Remember My Love,1922,https://myanimelist.net/anime/1922/Urusei_Yatsura_Movie_3__Remember_My_Love,Movie,1,Jan 1985,Jan 1985,Finished Airing,N/A,N/A,Studio Deen,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Shounen,1 hr. 35 min.,PG-13 - Teens 13 or older,#6935,"10,387",12,N/A,N/A
4957,6.91,Vinland Saga Season 2: Same Old Story,55272,https://myanimelist.net/anime/55272/Vinland_Saga_Season_2__Same_Old_Story,ONA,1,May 2023,May 2023,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Adventure, Drama",Seinen,1 min.,R - 17+ (violence &amp; profanity),#5538,"18,212",26,N/A,N/A
4958,6.91,Wan Jie Shen Zhu 2nd Season,41210,https://myanimelist.net/anime/41210/Wan_Jie_Shen_Zhu_2nd_Season,ONA,48,Feb 2020,Jul 2020,Finished Airing,N/A,N/A,Ruo Hong Culture,Manga,"Adventure, Fantasy",N/A,9 min. per ep.,PG-13 - Teens 13 or older,#12977,"1,632",4,"Feb 1, 2020","Jul 8, 2020"
4959,6.91,Xi You Ji,32230,https://myanimelist.net/anime/32230/Xi_You_Ji,TV,52,Jul 1999,Jan 2000,Finished Airing,Summer 1999,Unknown,add some,Novel,"Adventure, Fantasy",N/A,24 min. per ep.,PG - Children,#14040,"1,227",8,"Jul 23, 1999","Jan 15, 2000"
4960,6.91,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",52046,https://myanimelist.net/anime/52046/Yuusha_Party_wo_Tsuihou_sareta_Beast_Tamer_Saikyoushu_no_Nekomimi_Shoujo_to_Deau,TV,13,Oct 2022,Dec 2022,Finished Airing,Fall 2022,Sundays at 22:00 (JST),EMT Squared,Web manga,"Action, Adventure, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1167,"232,809","1,136","Oct 2, 2022","Dec 25, 2022"
4961,6.91,Zero no Tsukaima: Princesses no Rondo Picture Drama,6489,https://myanimelist.net/anime/6489/Zero_no_Tsukaima__Princesses_no_Rondo_Picture_Drama,Special,7,Sep 2008,Mar 2009,Finished Airing,N/A,N/A,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",N/A,3 min. per ep.,PG-13 - Teens 13 or older,#3381,"52,222",66,"Sep 25, 2008","Mar 25, 2009"
4962,6.90,Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,40659,https://myanimelist.net/anime/40659/Senki_Zesshou_Symphogear_XV__Senki_Zesshou_Shinai_Symphogear,Special,4,Dec 2019,Mar 2020,Finished Airing,N/A,N/A,Satelight,Original,"Comedy, Slice of Life",N/A,6 min. per ep.,PG-13 - Teens 13 or older,#9279,"4,985",3,"Dec 4, 2019","Mar 4, 2020"
4963,6.90,Shaman King (2021),42205,https://myanimelist.net/anime/42205/Shaman_King_2021,TV,52,Apr 2021,Apr 2022,Finished Airing,Spring 2021,Thursdays at 17:55 (JST),Bridge,Manga,"Action, Adventure, Supernatural",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#967,"278,606","1,752","Apr 1, 2021","Apr 21, 2022"
4964,6.90,"Shikabane Hime: Kuro – Soredemo, Hito to Shite",6344,https://myanimelist.net/anime/6344/Shikabane_Hime__Kuro_–_Soredemo_Hito_to_Shite,Special,1,Aug 2009,Aug 2009,Finished Airing,N/A,N/A,Gainax,Manga,"Action, Horror, Supernatural",Shounen,23 min.,R - 17+ (violence &amp; profanity),#5739,"16,553",9,N/A,N/A
4965,6.90,Shinmai Maou no Testament Departures,36688,https://myanimelist.net/anime/36688/Shinmai_Maou_no_Testament_Departures,OVA,1,Mar 2018,Mar 2018,Finished Airing,N/A,N/A,Production IMS,Light novel,"Action, Supernatural, Ecchi",N/A,59 min.,R+ - Mild Nudity,#2285,"101,852",168,N/A,N/A
4966,6.90,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,29027,https://myanimelist.net/anime/29027/Shinmai_Maou_no_Testament__Toujou_Basara_no_Hard_Sweet_na_Nichijou,OVA,1,Jun 2015,Jun 2015,Finished Airing,N/A,N/A,Production IMS,Light novel,"Action, Supernatural, Ecchi",N/A,25 min.,R+ - Mild Nudity,#1881,"134,659",112,N/A,N/A
4967,6.90,Shishigari,59773,https://myanimelist.net/anime/59773/Shishigari,Movie,1,Nov 2019,Nov 2019,Finished Airing,N/A,N/A,Studio DURIAN,Original,"Adventure, Suspense",N/A,16 min.,PG-13 - Teens 13 or older,#16181,700,1,N/A,N/A
4968,6.90,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",40586,https://myanimelist.net/anime/40586/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita,TV,12,Apr 2021,Jun 2021,Finished Airing,Spring 2021,Saturdays at 21:00 (JST),Revoroot,Light novel,"Comedy, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#591,"434,550","2,307","Apr 10, 2021","Jun 26, 2021"
4969,6.90,Tantei Opera Milky Holmes,7768,https://myanimelist.net/anime/7768/Tantei_Opera_Milky_Holmes,TV,12,Oct 2010,Dec 2010,Finished Airing,Fall 2010,Unknown,J.C.Staff,Original,"Comedy, Mystery",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#3568,"47,557",225,"Oct 7, 2010","Dec 23, 2010"
4970,6.90,Toaru Majutsu no Index-tan,5955,https://myanimelist.net/anime/5955/Toaru_Majutsu_no_Index-tan,Special,2,Feb 2009,May 2009,Finished Airing,N/A,N/A,J.C.Staff,Light novel,Comedy,N/A,8 min. per ep.,PG-13 - Teens 13 or older,#3279,"55,150",39,"Feb 7, 2009","May 29, 2009"
4971,6.90,Uchi no Kaisha no Chiisai Senpai no Hanashi,53379,https://myanimelist.net/anime/53379/Uchi_no_Kaisha_no_Chiisai_Senpai_no_Hanashi,TV,12,Jul 2023,Oct 2023,Finished Airing,Summer 2023,Sundays at 01:30 (JST),Project No.9,Web manga,"Comedy, Romance",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1873,"135,391",464,"Jul 2, 2023","Oct 1, 2023"
4972,6.90,UQ Holder! Mahou Sensei Negima! 2,33478,https://myanimelist.net/anime/33478/UQ_Holder_Mahou_Sensei_Negima_2,TV,12,Oct 2017,Dec 2017,Finished Airing,Fall 2017,Tuesdays at 00:00 (JST),J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#1196,"228,222",416,"Oct 3, 2017","Dec 19, 2017"
4973,6.90,Wan Jie Shen Zhu,39191,https://myanimelist.net/anime/39191/Wan_Jie_Shen_Zhu,ONA,60,Feb 2019,Aug 2019,Finished Airing,N/A,N/A,Ruo Hong Culture,Manga,"Adventure, Fantasy",N/A,9 min. per ep.,PG-13 - Teens 13 or older,#10185,"3,758",16,"Feb 6, 2019","Aug 31, 2019"
4974,6.90,Xi Xing Ji: Suming Pian,49098,https://myanimelist.net/anime/49098/Xi_Xing_Ji__Suming_Pian,ONA,20,Jun 2021,Jul 2021,Finished Airing,N/A,N/A,BYMENT,Manga,"Action, Adventure, Fantasy",N/A,14 min. per ep.,PG-13 - Teens 13 or older,#14023,"1,233",4,"Jun 2, 2021","Jul 28, 2021"
4975,6.90,YAT Anshin! Uchuu Ryokou 2,1892,https://myanimelist.net/anime/1892/YAT_Anshin_Uchuu_Ryokou_2,TV,25,Apr 1998,Oct 1998,Finished Airing,Spring 1998,Saturdays at 18:00 (JST),Group TAC,Original,"Adventure, Comedy, Sci-Fi",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#12711,"1,777",3,"Apr 11, 1998","Oct 3, 1998"
4976,6.90,Zhen Wu Dianfeng 3rd Season,57351,https://myanimelist.net/anime/57351/Zhen_Wu_Dianfeng_3rd_Season,ONA,104,Nov 2023,Nov 2024,Finished Airing,N/A,N/A,Ruo Hong Culture,Original,"Action, Adventure, Fantasy",N/A,9 min. per ep.,PG-13 - Teens 13 or older,#14415,"1,104",7,"Nov 29, 2023","Nov 20, 2024"
4977,6.90,3x3 Eyes: Seima Densetsu,1225,https://myanimelist.net/anime/1225/3x3_Eyes__Seima_Densetsu,OVA,3,Jul 1995,Jun 1996,Finished Airing,N/A,N/A,Studio Junio,Manga,"Action, Adventure, Fantasy, Horror, Romance",Seinen,48 min. per ep.,R+ - Mild Nudity,#5764,"16,392",47,"Jul 25, 1995","Jun 25, 1996"
4978,6.90,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",34777,https://myanimelist.net/anime/34777/91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,Special,1,Jul 2017,Jul 2017,Finished Airing,N/A,N/A,Shuka,Original,"Action, Drama, Suspense",N/A,24 min.,R - 17+ (violence &amp; profanity),#3138,"59,991",34,N/A,N/A
4979,6.90,Animation Seisaku Shinkou Kuromi-chan 2,1798,https://myanimelist.net/anime/1798/Animation_Seisaku_Shinkou_Kuromi-chan_2,OVA,1,Jan 2004,Jan 2004,Finished Airing,N/A,N/A,Yumeta Company,Original,"Comedy, Drama",N/A,45 min.,PG-13 - Teens 13 or older,#8106,"6,990",3,N/A,N/A
4980,6.90,Blade Runner: Black Out 2022,36308,https://myanimelist.net/anime/36308/Blade_Runner__Black_Out_2022,ONA,1,Sep 2017,Sep 2017,Finished Airing,N/A,N/A,CygamesPictures,Other,"Sci-Fi, Suspense",N/A,15 min.,R - 17+ (violence &amp; profanity),#3886,"41,124",57,N/A,N/A
4981,6.90,Bomberman Jetters,751,https://myanimelist.net/anime/751/Bomberman_Jetters,TV,52,Oct 2002,Sep 2003,Finished Airing,Fall 2002,Wednesdays at 18:30 (JST),Studio Deen,Game,"Action, Adventure, Comedy, Sci-Fi",N/A,23 min. per ep.,G - All Ages,#9038,"5,343",56,"Oct 2, 2002","Sep 24, 2003"
4982,6.90,Brotherhood: Final Fantasy XV,33080,https://myanimelist.net/anime/33080/Brotherhood__Final_Fantasy_XV,ONA,5,Mar 2016,Sep 2016,Finished Airing,N/A,N/A,A-1 Pictures,Game,Action,N/A,14 min. per ep.,PG-13 - Teens 13 or older,#2498,"88,972",206,"Mar 31, 2016","Sep 18, 2016"
4983,6.90,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,12293,https://myanimelist.net/anime/12293/Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,TV,13,Jul 2012,Sep 2012,Finished Airing,Summer 2012,Fridays at 23:30 (JST),Diomedéa,Light novel,"Action, Comedy, Romance, Supernatural, Ecchi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#639,"408,266","1,325","Jul 6, 2012","Sep 28, 2012"
4984,6.90,Chimimo,50985,https://myanimelist.net/anime/50985/Chimimo,TV,12,Jul 2022,Sep 2022,Finished Airing,Summer 2022,Fridays at 01:30 (JST),Shin-Ei Animation,Original,"Comedy, Supernatural",N/A,24 min. per ep.,G - All Ages,#9693,"4,376",26,"Jul 8, 2022","Sep 23, 2022"
4985,6.90,Days OVA,34008,https://myanimelist.net/anime/34008/Days_OVA,OVA,2,Mar 2017,May 2017,Finished Airing,N/A,N/A,MAPPA,Manga,Sports,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,#7341,"9,013",8,"Mar 17, 2017","May 17, 2017"
4986,6.90,Deadman Wonderland: Akai Knife Tsukai,10418,https://myanimelist.net/anime/10418/Deadman_Wonderland__Akai_Knife_Tsukai,OVA,1,Oct 2011,Oct 2011,Finished Airing,N/A,N/A,Manglobe,Manga,"Action, Horror, Sci-Fi",Shounen,27 min.,R - 17+ (violence &amp; profanity),#1834,"138,148",60,N/A,N/A
4987,6.90,Dekin no Mogura,60315,https://myanimelist.net/anime/60315/Dekin_no_Mogura,TV,12,Jul 2025,Sep 2025,Finished Airing,Summer 2025,Mondays at 22:00 (JST),Brain&#039;s Base,Manga,"Comedy, Mystery, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#5335,"20,136",59,"Jul 7, 2025","Sep 22, 2025"
4988,6.90,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,2678,https://myanimelist.net/anime/2678/Doraemon_Movie_18__Nobita_no_Nejimaki_City_Boukenki,Movie,1,Mar 1997,Mar 1997,Finished Airing,N/A,N/A,Shin-Ei Animation,Unknown,"Adventure, Fantasy",N/A,1 hr. 38 min.,PG - Children,#9144,"5,195",1,N/A,N/A
4989,6.90,Endro~!,38062,https://myanimelist.net/anime/38062/Endro,TV,12,Jan 2019,Mar 2019,Finished Airing,Winter 2019,Sundays at 01:00 (JST),Studio Gokumi,Original,"Fantasy, Slice of Life",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#2625,"81,861",198,"Jan 13, 2019","Mar 31, 2019"
4990,6.90,Fantastic Children: Befort no Kodomo-tachi no Sonogo,15159,https://myanimelist.net/anime/15159/Fantastic_Children__Befort_no_Kodomo-tachi_no_Sonogo,Special,1,Sep 2005,Sep 2005,Finished Airing,N/A,N/A,Nippon Animation,Unknown,Slice of Life,N/A,6 min.,G - All Ages,#11977,"2,238",2,N/A,N/A
4991,6.90,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,38085,https://myanimelist.net/anime/38085/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_1_-_Wandering__Agateram,Movie,1,Dec 2020,Dec 2020,Finished Airing,N/A,N/A,Signal.MD,Game,"Action, Fantasy",N/A,1 hr. 29 min.,PG-13 - Teens 13 or older,#2318,"100,184",165,N/A,N/A
4992,6.90,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,2206,https://myanimelist.net/anime/2206/Galaxy_Angel_Music_Collection__Shouen_to_Shien_no_Cassoulet,OVA,1,Apr 2002,Apr 2002,Finished Airing,N/A,N/A,Madhouse,Original,"Comedy, Sci-Fi",N/A,13 min.,PG-13 - Teens 13 or older,#10360,"3,544",1,N/A,N/A
4993,6.90,Gate Keepers,127,https://myanimelist.net/anime/127/Gate_Keepers,TV,24,Apr 2000,Sep 2000,Finished Airing,Spring 2000,Mondays at 18:30 (JST),Gonzo,Game,"Comedy, Fantasy, Sci-Fi",N/A,25 min. per ep.,PG-13 - Teens 13 or older,#4964,"23,889",62,"Apr 3, 2000","Sep 18, 2000"
4994,6.90,Gravitation,243,https://myanimelist.net/anime/243/Gravitation,TV,13,Oct 2000,Jan 2001,Finished Airing,Fall 2000,Wednesdays at 18:30 (JST),Studio Deen,Manga,"Boys Love, Comedy",Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,#1986,"124,801","1,133","Oct 4, 2000","Jan 10, 2001"
4995,6.90,Hajimete no Eigo: Nippon Mukashibanashi,33335,https://myanimelist.net/anime/33335/Hajimete_no_Eigo__Nippon_Mukashibanashi,OVA,18,,,Finished Airing,N/A,N/A,add some,Other,Fantasy,Kids,9 min. per ep.,G - All Ages,#15153,915,3,N/A,N/A
4996,6.90,Hellsing: Psalm of the Darkness,7728,https://myanimelist.net/anime/7728/Hellsing__Psalm_of_the_Darkness,Special,1,Aug 2001,Aug 2001,Finished Airing,N/A,N/A,Gonzo,Manga,"Action, Supernatural",Seinen,3 min.,R - 17+ (violence &amp; profanity),#4114,"36,230",46,N/A,N/A
4997,6.90,Jashin-chan Dropkick &quot;Seikimatsu-hen&quot;,55237,https://myanimelist.net/anime/55237/Jashin-chan_Dropkick_Seikimatsu-hen,Special,1,Dec 2023,Dec 2023,Finished Airing,N/A,N/A,Makaria,Web manga,"Comedy, Supernatural",N/A,23 min.,PG-13 - Teens 13 or older,#7296,"9,154",23,N/A,N/A
4998,6.90,Keijo!!!!!!!!,32686,https://myanimelist.net/anime/32686/Keijo,TV,12,Oct 2016,Dec 2016,Finished Airing,Fall 2016,Thursdays at 23:30 (JST),Xebec,Manga,"Sports, Ecchi",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#613,"420,897","1,463","Oct 6, 2016","Dec 22, 2016"
4999,6.90,Koroshi Ai,44516,https://myanimelist.net/anime/44516/Koroshi_Ai,TV,12,Jan 2022,Mar 2022,Finished Airing,Winter 2022,Thursdays at 00:00 (JST),Platinum Vision,Manga,"Action, Romance",Josei,23 min. per ep.,R - 17+ (violence &amp; profanity),#1402,"191,306","1,012","Jan 13, 2022","Mar 31, 2022"
5000,6.90,Kyousou Giga,10893,https://myanimelist.net/anime/10893/Kyousou_Giga,ONA,1,Dec 2011,Dec 2011,Finished Airing,N/A,N/A,Toei Animation,Original,"Action, Fantasy",N/A,25 min.,PG-13 - Teens 13 or older,#3551,"47,884",88,N/A,N/A
5001,6.90,Lengxue Kuang Yan,45042,https://myanimelist.net/anime/45042/Lengxue_Kuang_Yan,ONA,1,Dec 2020,Dec 2020,Finished Airing,N/A,N/A,add some,Original,"Action, Fantasy",N/A,2 hr. 9 min.,R - 17+ (violence &amp; profanity),#18018,482,2,N/A,N/A
5002,6.90,Magic Tree House,10690,https://myanimelist.net/anime/10690/Magic_Tree_House,Movie,1,Jan 2012,Jan 2012,Finished Airing,N/A,N/A,Ajia-do,Book,Adventure,N/A,1 hr. 45 min.,PG - Children,#7712,"7,942",7,N/A,N/A
5003,6.90,Massara,50597,https://myanimelist.net/anime/50597/Massara,ONA,1,Nov 2021,Nov 2021,Finished Airing,N/A,N/A,Enishiya,Music,Slice of Life,N/A,6 min.,G - All Ages,#11153,"2,828",9,N/A,N/A
5004,6.90,Mukamuka Paradise,4086,https://myanimelist.net/anime/4086/Mukamuka_Paradise,TV,51,Sep 1993,Aug 1994,Finished Airing,Fall 1993,Unknown,Nippon Animation,Manga,"Adventure, Comedy",N/A,25 min. per ep.,G - All Ages,#10468,"3,437",5,"Sep 4, 1993","Aug 27, 1994"
5005,6.90,Namiuchigiwa no Muromi-san,16910,https://myanimelist.net/anime/16910/Namiuchigiwa_no_Muromi-san,TV,13,Apr 2013,Jun 2013,Finished Airing,Spring 2013,Sundays at 01:15 (JST),Tatsunoko Production,Manga,"Comedy, Fantasy",Shounen,13 min. per ep.,PG-13 - Teens 13 or older,#3760,"43,580",54,"Apr 7, 2013","Jun 30, 2013"
5006,6.90,Noblesse,41345,https://myanimelist.net/anime/41345/Noblesse,TV,13,Oct 2020,Dec 2020,Finished Airing,Fall 2020,Thursdays at 00:00 (JST),Production I.G,Web manga,"Action, Supernatural",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#845,"320,717","1,285","Oct 8, 2020","Dec 31, 2020"
5007,6.90,Otogizoushi,525,https://myanimelist.net/anime/525/Otogizoushi,TV,26,Jul 2004,Mar 2005,Finished Airing,Summer 2004,Unknown,Production I.G,Original,"Adventure, Drama, Fantasy",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#5410,"19,383",52,"Jul 7, 2004","Mar 30, 2005"
5008,6.90,Pandane to Tamago-hime,9798,https://myanimelist.net/anime/9798/Pandane_to_Tamago-hime,Movie,1,Nov 2010,Nov 2010,Finished Airing,N/A,N/A,Studio Ghibli,Original,"Adventure, Fantasy",N/A,11 min.,PG-13 - Teens 13 or older,#8515,"6,203",6,N/A,N/A
5009,6.90,Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,4026,https://myanimelist.net/anime/4026/Pokemon_Movie_11__Giratina_to_Sora_no_Hanataba_Sheimi,Movie,1,Jul 2008,Jul 2008,Finished Airing,N/A,N/A,OLM,Game,"Action, Adventure, Fantasy",Kids,1 hr. 36 min.,PG - Children,#2348,"98,309",43,N/A,N/A
5010,6.90,Pokemon Side Stories,2363,https://myanimelist.net/anime/2363/Pokemon_Side_Stories,TV,16,Dec 2002,Sep 2004,Finished Airing,Winter 2003,Tuesdays at 19:00 (JST),OLM,Game,"Adventure, Comedy, Fantasy",Kids,20 min. per ep.,PG - Children,#4220,"34,568",16,"Dec 3, 2002","Sep 28, 2004"
5011,6.90,Prince of Stride: Alternative,31559,https://myanimelist.net/anime/31559/Prince_of_Stride__Alternative,TV,12,Jan 2016,Mar 2016,Finished Airing,Winter 2016,Tuesdays at 23:00 (JST),Madhouse,Mixed media,Sports,N/A,24 min. per ep.,PG-13 - Teens 13 or older,#1467,"180,910",644,"Jan 5, 2016","Mar 22, 2016"
5012,6.89,Inazuma Eleven: Orion no Kokuin,38235,https://myanimelist.net/anime/38235/Inazuma_Eleven__Orion_no_Kokuin,TV,49,Oct 2018,Sep 2019,Finished Airing,Fall 2018,Fridays at 17:55 (JST),OLM,Game,Sports,N/A,23 min. per ep.,G - All Ages,#4376,"31,804",110,"Oct 5, 2018","Sep 27, 2019"
5013,6.89,"Iriya no Sora, UFO no Natsu",358,https://myanimelist.net/anime/358/Iriya_no_Sora_UFO_no_Natsu,OVA,6,Feb 2005,Jun 2005,Finished Airing,N/A,N/A,Toei Animation,Light novel,"Drama, Romance, Sci-Fi",N/A,27 min. per ep.,R+ - Mild Nudity,#4723,"27,116",70,"Feb 25, 2005","Jun 29, 2005"
5014,6.89,Kabukichou Sherlock,38161,https://myanimelist.net/anime/38161/Kabukichou_Sherlock,TV,24,Oct 2019,Mar 2020,Finished Airing,Fall 2019,Saturdays at 01:55 (JST),Production I.G,Original,"Comedy, Drama, Mystery",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#2528,"86,693",203,"Oct 12, 2019","Mar 28, 2020"
5015,6.89,Kami no Tou: Koubou-sen,59989,https://myanimelist.net/anime/59989/Kami_no_Tou__Koubou-sen,TV,13,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Sundays at 23:00 (JST),The Answer Studio,Web manga,"Action, Adventure, Drama, Fantasy, Mystery",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#1949,"127,978",265,"Oct 6, 2024","Dec 29, 2024"
5016,6.89,Kimi ga Nozomu Eien: Next Season,3318,https://myanimelist.net/anime/3318/Kimi_ga_Nozomu_Eien__Next_Season,OVA,4,Dec 2007,Dec 2008,Finished Airing,N/A,N/A,Brain&#039;s Base,Visual novel,"Drama, Romance",N/A,29 min. per ep.,PG-13 - Teens 13 or older,#4483,"30,363",34,"Dec 21, 2007","Dec 19, 2008"
5017,6.89,Kinoko Inu,58854,https://myanimelist.net/anime/58854/Kinoko_Inu,TV,12,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Thursdays at 21:00 (JST),C-Station,Manga,Slice of Life,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#7449,"8,712",22,"Oct 3, 2024","Dec 19, 2024"
5018,6.89,Kiteretsu Daihyakka,6509,https://myanimelist.net/anime/6509/Kiteretsu_Daihyakka,TV,331,Mar 1988,Jun 1996,Finished Airing,Spring 1988,Sundays at 19:00 (JST),Gallop,Manga,"Comedy, Drama",Kids,25 min. per ep.,PG - Children,#8091,"7,016",28,"Mar 27, 1988","Jun 9, 1996"
5019,6.89,Koisuru Tenshi Angelique: Kagayaki no Ashita,1864,https://myanimelist.net/anime/1864/Koisuru_Tenshi_Angelique__Kagayaki_no_Ashita,TV,12,Jan 2007,Mar 2007,Finished Airing,Winter 2007,Saturdays at 01:30 (JST),Satelight,Visual novel,"Drama, Fantasy, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#6503,"12,036",29,"Jan 6, 2007","Mar 24, 2007"
5020,6.89,Koutetsushin Jeeg,2157,https://myanimelist.net/anime/2157/Koutetsushin_Jeeg,TV,13,Apr 2007,Jul 2007,Finished Airing,Spring 2007,Unknown,Actas,Original,Sci-Fi,N/A,23 min. per ep.,PG-13 - Teens 13 or older,#7811,"7,666",11,"Apr 5, 2007","Jul 12, 2007"
5021,6.89,Kyoukai no Kanata: Mini Gekijou,20909,https://myanimelist.net/anime/20909/Kyoukai_no_Kanata__Mini_Gekijou,Special,7,Jan 2014,Jul 2014,Finished Airing,N/A,N/A,Kyoto Animation,Original,"Slice of Life, Supernatural",N/A,5 min. per ep.,PG-13 - Teens 13 or older,#3635,"46,189",42,"Jan 8, 2014","Jul 2, 2014"
